decision_rate_h,mean_service_s,deadline_s,Q,empirical_status
30,8.0,90.0,0.9999724635506503,approximate cadence implied by 10-15 decisions / 15-20 min
30,8.237442922374429,90.0,0.9999619161641151,approximate cadence implied by 10-15 decisions / 15-20 min
30,8.474885844748858,90.0,0.9999482772104016,approximate cadence implied by 10-15 decisions / 15-20 min
30,8.712328767123287,90.0,0.9999309160882038,approximate cadence implied by 10-15 decisions / 15-20 min
30,8.949771689497716,90.0,0.9999091337987158,approximate cadence implied by 10-15 decisions / 15-20 min
30,9.187214611872147,90.0,0.999882164699154,approximate cadence implied by 10-15 decisions / 15-20 min
30,9.424657534246576,90.0,0.9998491792639154,approximate cadence implied by 10-15 decisions / 15-20 min
30,9.662100456621005,90.0,0.9998092877483051,approximate cadence implied by 10-15 decisions / 15-20 min
30,9.899543378995434,90.0,0.9997615446348299,approximate cadence implied by 10-15 decisions / 15-20 min
30,10.136986301369863,90.0,0.9997049537335148,approximate cadence implied by 10-15 decisions / 15-20 min
30,10.374429223744292,90.0,0.999638473804751,approximate cadence implied by 10-15 decisions / 15-20 min
30,10.61187214611872,90.0,0.9995610245748642,approximate cadence implied by 10-15 decisions / 15-20 min
30,10.849315068493151,90.0,0.9994714930199491,approximate cadence implied by 10-15 decisions / 15-20 min
30,11.086757990867579,90.0,0.9993687398016773,approximate cadence implied by 10-15 decisions / 15-20 min
30,11.32420091324201,90.0,0.999251605748885,approximate cadence implied by 10-15 decisions / 15-20 min
30,11.561643835616438,90.0,0.9991189182901086,approximate cadence implied by 10-15 decisions / 15-20 min
30,11.799086757990867,90.0,0.9989694977542231,approximate cadence implied by 10-15 decisions / 15-20 min
30,12.036529680365296,90.0,0.9988021634684873,approximate cadence implied by 10-15 decisions / 15-20 min
30,12.273972602739725,90.0,0.9986157395951809,approximate cadence implied by 10-15 decisions / 15-20 min
30,12.511415525114156,90.0,0.9984090606593903,approximate cadence implied by 10-15 decisions / 15-20 min
30,12.748858447488583,90.0,0.9981809767311057,approximate cadence implied by 10-15 decisions / 15-20 min
30,12.986301369863014,90.0,0.9979303582345187,approximate cadence implied by 10-15 decisions / 15-20 min
30,13.223744292237443,90.0,0.9976561003661778,approximate cadence implied by 10-15 decisions / 15-20 min
30,13.461187214611872,90.0,0.997357127111414,approximate cadence implied by 10-15 decisions / 15-20 min
30,13.698630136986301,90.0,0.9970323948552192,approximate cadence implied by 10-15 decisions / 15-20 min
30,13.93607305936073,90.0,0.9966808955895585,approximate cadence implied by 10-15 decisions / 15-20 min
30,14.173515981735159,90.0,0.9963016597239822,approximate cadence implied by 10-15 decisions / 15-20 min
30,14.410958904109588,90.0,0.995893758510431,approximate cadence implied by 10-15 decisions / 15-20 min
